 11M 18:36 ecr2016
 11M 16:20 CIS-72M0003-E-2016
 11M 16:55 citd-E-1994-exp
 11M 18:37 ECR-72M0003-F-2015
 11M 16:00 cen-95F0495-E-2001-prof01ct
 11M 18:45 edtr-75M0001-F-1993-fichier-personnes-vague1
 10M 20:59 slid-75M0001-E-1993p
 10M 18:46 edtr-75M0001-F-1994-fichier-longitudinal-personnes
 10M 15:39 cchs-82M0024-E-2015-nu-r24
9.8M 18:36 ECR2012!FR
9.7M 16:49 citd-E-1993-exp
9.5M 18:36 ECR2014!FR
9.3M 15:52 cen-95F0183-E-1996-ctprof
9.3M 18:36 ECR2013!FR
9.1M 20:58 sinc-11M0001-E-1996
9.0M 18:51 einc-0662999657-1996-F
8.9M 16:19 CIS-72M0003-E-2015
8.9M 16:03 cen-e-1981-eab
8.9M 16:44 citd-E-1992-exp
8.8M 18:52 end-81M0011-F-1995
8.8M 15:51 cen-95F0181-E-1996-profcsd
8.7M 19:55 hal-82M0003E-E-1986-adt
8.7M 19:19 escc-82M0021-F-2002-c1-2
8.7M 15:25 cchs-82M0021-E-2002-c1-2
8.7M 20:04 its-66M00010-E-1990-2000-ov
8.7M 15:59 cen-95F0495-E-2001-cdcsd
8.7M 20:39 ngs-81M0011-E-1995
8.6M 20:59 slid-75M0001-E-1994-lp
8.5M 20:05 its-66M00010-E-1999-2000-co
8.5M 16:17 cis-5200-E-2012
8.4M 20:52 saff-71M0016-F-2008
8.4M 20:44 pses-71M0016-E-2008
8.3M 18:43 edtr-75F0002M-F-2007-fichier-personnes
8.2M 16:19 cis-5200-E-2014
8.1M 19:35 esla-82-555-F-1986-adultes
8.0M 16:18 cis-5200-E-2013
8.0M 19:22 esg-12M0018-F-2004-c18-fichier-incidents
7.9M 19:57 ialss-89M0022-E-2003
7.8M 18:43 edtr-75F0002M-F-2008-fichier-personnes
7.6M 16:24 citd-E-1988-exp
7.6M 16:39 citd-E-1991-exp
7.5M 21:41 synthetic-CCHS-E-2009-FullSampleFile
